iter	RMSE
0	7420.878726
1	7286.084304
2	7169.811211
3	7042.752846
4	6927.476326
5	6818.880044
6	6701.705495
7	6605.925675
8	6510.10935
9	6389.869108
10	6288.998663
11	6194.051883
12	6106.296646
13	6014.030401
14	5912.537539
15	5831.379149
16	5749.917839
17	5645.949209
18	5562.075297
19	5490.547353
20	5424.632312
21	5354.564295
22	5279.156299
23	5195.49627
24	5113.759545
25	5029.778221
26	4953.456958
27	4882.055988
28	4803.115643
29	4744.900716
30	4693.196441
31	4638.200296
32	4566.388687
33	4492.421141
34	4418.396339
35	4359.539768
36	4289.136612
37	4230.081018
38	4183.48049
39	4120.164946
40	4069.614344
41	4011.778805
42	3957.060616
43	3904.440042
44	3852.80846
45	3805.22944
46	3756.052167
47	3698.741846
48	3648.867764
49	3609.176991
50	3573.294106
51	3534.023198
52	3492.401725
53	3444.190294
54	3400.928511
55	3372.524364
56	3330.747087
57	3291.34152
58	3254.949284
59	3218.742698
60	3184.718244
61	3153.935276
62	3120.966667
63	3088.119285
64	3061.617464
65	3030.147521
66	2995.211526
67	2960.734142
68	2931.824183
69	2902.894145
70	2868.651472
71	2841.115853
72	2815.651652
73	2789.755757
74	2765.510337
75	2732.038724
76	2709.608369
77	2678.426467
78	2653.220821
79	2629.611208
80	2609.006658
81	2586.092056
82	2569.296566
83	2543.804116
84	2520.271406
85	2500.91353
86	2477.072968
87	2457.829048
88	2442.66332
89	2421.953318
90	2402.954072
91	2381.371865
92	2366.117049
93	2344.999368
94	2325.978791
95	2306.674705
96	2288.57145
97	2269.230627
98	2247.601777
99	2236.493871
100	2221.592483
101	2202.027883
102	2184.858186
103	2165.626434
104	2156.33987
105	2143.144028
106	2134.449068
107	2120.74016
108	2103.676213
109	2092.541597
110	2076.44125
111	2063.015978
112	2047.369488
113	2034.123293
114	2021.662883
115	2008.925147
116	1999.306977
117	1985.939536
118	1974.999416
119	1960.514012
120	1945.215566
121	1935.284162
122	1924.291486
123	1912.016949
124	1901.948237
125	1892.203274
126	1882.15066
127	1868.044115
128	1857.284278
129	1844.068786
130	1834.674325
131	1820.685627
132	1807.929558
133	1796.24231
134	1785.935255
135	1778.317803
136	1769.046304
137	1761.147485
138	1754.622925
139	1745.323409
140	1735.722279
141	1724.118464
142	1714.727755
143	1705.581249
144	1693.067024
145	1683.388846
146	1670.66948
147	1659.234795
